2279	2519	87	61	48
2496	2519	166	144	130
2712	2519	91	122	151
2929	2519	71	99	51
3146	2519	123	131	167
3357	2519	114	192	179
2279	2738	189	102	33
2496	2738	64	89	156
2712	2738	176	71	85
2929	2738	71	51	86
3140	2746	141	180	73
3355	2738	194	150	43
2279	2957	32	56	130
2496	2957	55	151	80
2712	2957	164	40	40
2932	2964	199	184	41
3146	2957	177	84	141
3361	2949	42	144	169
2279	3176	204	215	211
2496	3176	176	185	184
2712	3176	146	158	158
2939	3175	101	112	108
3146	3176	60	66	64
3363	3176	27	29	28
